title,addr_zip,size_sqft,bedrooms,bathrooms,prewar,price
88 Horatio Street #5B,10014,300,0.0,1.0,1,299000
10 Bethune Street #4C,10014,350,0.0,1.0,1,349000
204 West 10th Street #22,10014,400,1.0,1.0,1,399000
34 Barrow Street #4,10014,410,0.0,1.0,1,409000
53 Horatio Street #1,10014,700,1.0,1.0,1,699000
204 West Houston #4B,10014,800,1.0,1.0,1,799000
345 West 4th Street #7,10014,900,2.0,2.0,1,899000
130 Barrow Street #211,10014,1000,1.0,1.0,1,999000
380 West 12th Street #1E,10014,1000,1.0,1.0,1,999000
708 Greenwich Street #3B,10014,1000,1.0,1.0,1,999000
130 Barrow Street #211,10014,1000,1.0,1.0,1,999000
380 West 12th Street #1E,10014,1000,1.0,1.0,1,999000
111 Barrow Street #4D,10014,1500,2.0,2.0,1,1499000
720 Greenwich Street #2P,10014,500,0.0,1.0,1,499999
20 Bethune Street #3D,10014,1100,2.0,1.0,1,1100000
256 West 10th Street #1A,10014,1650,2.0,3.0,1,1650000
22 Grove Street #3B,10014,725,1.0,1.0,1,725000
377 West 11th Street #3G,10014,2050,2.0,2.0,1,2050000
22 Cornelia #20,10014,425,0.0,1.0,1,425000
260 West 10th Street #1W,10014,1100,1.5,2.0,1,1100000
7 Leroy Street ,10014,2306,6.0,6.0,1,4750000
9 Barrow Street #3F,10014,740,1.0,1.0,1,750000
67 Morton Street #4A,10014,540,1.0,1.0,1,549000
295 West 11th Street #4K,10014,500,1.0,1.0,1,510000
22 Grove Street #1F,10014,350,0.0,1.0,1,359000
720 Greenwich Street #1B,10014,580,0.0,1.0,1,595000
720 Greenwich Street #6O,10014,720,1.0,1.0,1,739000
130 Jane Street #2F,10014,700,1.0,1.0,1,719000
75 Bank Street #1CDE,10014,1700,3.0,2.0,1,1749000
15 Jones Street #5G,10014,500,1.0,1.0,1,515000
96 Perry Street, #B12 ,10014,650,2.0,1.0,1,670000
165 Perry Street #3D,10014,775,1.0,1.0,1,799000
9 Barrow Street ,10014,800,1.0,1.0,1,825000
377 West 11th Street #3B,10014,2400,2.0,2.0,1,2475000
304 West 10th Street #4B,10014,280,0.0,1.0,1,289000
344 West 12th Street #4B,10014,550,1.0,1.0,1,569000
9 Barrow Street #7N,10014,550,1.0,1.0,1,569500
130 Jane Street ,10014,771,1.0,1.0,1,799000
731 Greenwich Street #J32,10014,650,1.0,1.0,1,675000
377 West 11th Street #3B,10014,2400,2.0,2.0,1,2495000
